Id,State,Gender,Residential,Age_years,Weight_kg,Height_cm,BMI_kg_m2,BMI_cat,BroadJump_cm,Speed20m_s,SitReach_cm,HandWallToss_no
1,Johor,F,Rural,7.1,18.5,111.2,15.0,Normal,111,4.5,35,8
2,Johor,F,Urban,7.0,18.0,116.0,13.4,Normal,110,4.8,38,7
3,Johor,F,Rural,7.0,18.0,116.0,13.4,Normal,128,4.9,30,8
4,Johor,F,Rural,7.1,21.0,119.0,14.8,Normal,123,4.9,29,9
5,Johor,F,Urban,7.1,19.5,117.5,14.1,Normal,109,4.9,28,7
6,Johor,F,Rural,7.1,20.2,117.1,14.7,Normal,104,4.7,31,4
7,Johor,F,Rural,7.1,18.2,113.5,14.1,Normal,112,5.4,30,10
8,Johor,F,Urban,7.0,37.6,126.0,23.7,Obesity,101,5.0,34,4
9,Johor,F,Rural,7.0,19.0,116.0,14.1,Normal,97,4.0,32,3
10,Johor,F,Urban,7.1,25.0,126.0,15.7,Normal,102,5.0,28,8
11,Johor,F,Urban,7.1,29.0,131.0,16.9,Normal,112,5.2,29,6
12,Johor,F,Urban,7.1,24.0,121.0,16.4,Normal,109,4.2,22,7
13,Johor,F,Urban,7.1,21.0,119.0,14.8,Normal,102,5.1,26,10
14,Johor,F,Urban,7.1,22.0,119.0,15.5,Normal,114,4.1,26,3
15,Johor,F,Rural,7.0,20.5,108.0,17.6,Overweight,98,5.0,30,5
16,Johor,F,Rural,7.1,21.0,116.0,15.6,Normal,100,5.0,27,8
17,Johor,F,Rural,7.0,21.5,118.5,15.3,Normal,86,4.7,30,7
18,Johor,F,Rural,7.0,32.0,123.0,21.2,Obesity,100,4.8,32,2
19,Johor,F,Rural,7.1,26.0,119.0,18.4,Overweight,97,5.3,32,6
20,Johor,F,Urban,7.1,21.0,108.0,18.0,Overweight,91,4.3,29,4
21,Johor,F,Rural,7.0,17.0,110.0,14.0,Normal,98,5.3,30,7
22,Johor,F,Rural,7.1,25.1,126.0,15.8,Normal,83,4.9,34,5
23,Johor,F,Urban,7.1,21.2,126.0,13.4,Normal,107,5.3,32,3
