ID;STATE;GENDER;RESIDENTIAL;CLASS_BMI;AGE;WEIGHT_kg;HEIGHT_cm;BMI_kg_m2;POWER_cm;FLEXIBILITY_cm;COORDINATION_no;SPEED_sec
1;JOHOR;F;RURAL;NORMAL;7,1;18,5;111,2;15,0;111,0;35,0;8,0;4,5
2;JOHOR;F;URBAN;NORMAL;7;18,0;116,0;13,4;110,0;38,0;7,0;4,8
3;JOHOR;F;RURAL;NORMAL;7;18,0;116,0;13,4;128,0;30,0;8,0;4,9
4;JOHOR;F;RURAL;NORMAL;7,1;21,0;119,0;14,8;123,0;29,0;9,0;4,9
5;JOHOR;F;URBAN;NORMAL;7,1;19,5;117,5;14,1;109,0;28,0;7,0;4,9
6;JOHOR;F;RURAL;NORMAL;7,1;20,2;117,1;14,7;104,0;31,0;4,0;4,7
7;JOHOR;F;RURAL;NORMAL;7,1;18,2;113,5;14,1;112,0;29,5;10,0;5,4
8;JOHOR;F;URBAN;OBESITY;7;37,6;126,0;23,7;101,0;34,0;4,0;5,0
9;JOHOR;F;RURAL;NORMAL;7;19,0;116,0;14,1;97,0;32,0;3,0;4,0
10;JOHOR;F;URBAN;NORMAL;7,1;25,0;126,0;15,7;102,0;28,0;8,0;5,0
11;JOHOR;F;URBAN;NORMAL;7,1;29,0;131,0;16,9;112,0;29,0;6,0;5,2
12;JOHOR;F;URBAN;NORMAL;7,1;24,0;121,0;16,4;109,0;22,0;7,0;4,2
13;JOHOR;F;URBAN;NORMAL;7,1;21,0;119,0;14,8;102,0;26,0;10,0;5,1
14;JOHOR;F;URBAN;NORMAL;7,1;22,0;119,0;15,5;114,0;26,0;3,0;4,1
15;JOHOR;F;RURAL;OVERWEIGHT;7;20,5;108,0;17,6;98,0;30,0;5,0;5,0
16;JOHOR;F;RURAL;NORMAL;7,1;21,0;116,0;15,6;100,0;26,5;8,0;5,0
17;JOHOR;F;RURAL;NORMAL;7;21,5;118,5;15,3;86,0;29,5;7,0;4,7
18;JOHOR;F;RURAL;OBESITY;7;32,0;123,0;21,2;100,0;31,5;2,0;4,8
19;JOHOR;F;RURAL;OVERWEIGHT;7,1;26,0;119,0;18,4;97,0;32,0;6,0;5,3
20;JOHOR;F;URBAN;OVERWEIGHT;7,1;21,0;108,0;18,0;91,0;29,0;4,0;4,3
21;JOHOR;F;RURAL;NORMAL;7;17,0;110,0;14,0;98,0;29,5;7,0;5,3
22;JOHOR;F;RURAL;NORMAL;7,1;25,1;126,0;15,8;83,0;34,0;5,0;4,9
23;JOHOR;F;URBAN;NORMAL;7,1;21,2;126,0;13,4;107,0;32,0;3,0;5,3
24;JOHOR;F;URBAN;NORMAL;7;22,0;119,0;15,5;86,0;30,5;6,0;5,0
25;JOHOR;F;URBAN;NORMAL;7,1;23,0;123,0;15,2;110,0;29,0;2,0;5,0
26;JOHOR;F;URBAN;NORMAL;7;21,0;122,0;14,1;102,0;27,0;4,0;5,0
27;JOHOR;F;RURAL;NORMAL;7;20,5;118,0;14,7;85,0;27,0;9,0;4,9
28;JOHOR;F;URBAN;OVERWEIGHT;7;28,9;128,0;17,6;93,0;30,0;1,0;4,5
29;JOHOR;F;URBAN;THINNESS;7,1;17,5;118,0;12,6;104,0;27,5;3,0;5,1
30;JOHOR;F;URBAN;NORMAL;7;21,0;117,0;15,3;122,0;13,0;4,0;4,5
31;JOHOR;F;URBAN;NORMAL;7,1;21,0;116,0;15,6;77,0;29,5;5,0;4,7
32;JOHOR;F;URBAN;NORMAL;7,1;23,0;124,0;15,0;101,0;30,0;1,0;4,7
33;JOHOR;F;URBAN;NORMAL;7,1;21,0;128,0;12,8;96,0;29,0;4,0;5,2
34;JOHOR;F;URBAN;NORMAL;7,1;25,9;125,0;16,6;92,0;27,0;4,0;4,9
35;JOHOR;F;URBAN;THINNESS;7;17,0;119,5;11,9;89,0;31,0;1,0;4,7
36;JOHOR;F;URBAN;THINNESS;7,1;17,9;122,0;12,0;96,0;28,5;7,0;5,7
37;JOHOR;F;RURAL;NORMAL;7;21,0;120,0;14,6;102,0;25,0;1,0;4,0
38;JOHOR;F;URBAN;NORMAL;7;24,0;120,0;16,7;79,0;25,5;9,0;4,9
39;JOHOR;F;RURAL;NORMAL;7;21,6;119,5;15,1;97,0;22,5;5,0;4,9
40;JOHOR;F;URBAN;NORMAL;7;25,0;127,0;15,5;95,0;31,0;1,0;4,9
41;JOHOR;F;URBAN;NORMAL;7;19,2;112,5;15,2;86,0;29,0;9,0;5,6
42;JOHOR;F;URBAN;NORMAL;7;20,8;126,0;13,1;105,0;28,5;1,0;5,0
43;JOHOR;F;URBAN;NORMAL;7,1;22,0;121,0;15,0;95,0;30,0;3,0;5,4
