Pseudo_rallies,Gender,Terminal_event,Rally_length,Probability,Lower_limit,Upper_limit 
Yes,Men,Ball in/out,0.28,0.001,0.000,0.006
Yes,Men,Ball in/out,0.32,0.012,0.007,0.021
Yes,Men,Ball in/out,0.36,0.024,0.016,0.035
Yes,Men,Ball in/out,0.44,0.036,0.026,0.050
Yes,Men,Ball in/out,0.52,0.041,0.029,0.054
Yes,Men,Ball in/out,0.56,0.047,0.035,0.061
Yes,Men,Ball in/out,0.60,0.051,0.038,0.066
Yes,Men,Ball in/out,0.64,0.057,0.043,0.072
Yes,Men,Ball in/out,0.68,0.062,0.048,0.078
Yes,Men,Ball in/out,0.72,0.076,0.061,0.094
Yes,Men,Ball in/out,0.73,0.080,0.064,0.098
Yes,Men,Ball in/out,0.76,0.093,0.076,0.112
Yes,Men,Ball in/out,0.77,0.095,0.078,0.115
Yes,Men,Ball in/out,0.80,0.113,0.095,0.134
Yes,Men,Ball in/out,0.83,0.114,0.096,0.135
Yes,Men,Ball in/out,0.84,0.132,0.111,0.154
Yes,Men,Ball in/out,0.88,0.141,0.120,0.163
Yes,Men,Ball in/out,0.90,0.144,0.123,0.167
Yes,Men,Ball in/out,0.92,0.150,0.128,0.173
Yes,Men,Ball in/out,0.96,0.153,0.131,0.176
Yes,Men,Ball in/out,1.00,0.157,0.135,0.180
Yes,Men,Ball in/out,1.04,0.158,0.136,0.182
Yes,Men,Ball in/out,1.08,0.161,0.139,0.185
Yes,Men,Ball in/out,1.12,0.163,0.141,0.187
Yes,Men,Ball in/out,1.20,0.165,0.143,0.189
Yes,Men,Ball in/out,1.24,0.167,0.145,0.191
Yes,Men,Ball in/out,1.32,0.169,0.147,0.193
Yes,Men,Ball in/out,1.36,0.171,0.149,0.195
Yes,Men,Ball in/out,1.40,0.172,0.149,0.197
Yes,Men,Ball in/out,1.40,0.176,0.153,0.201
Yes,Men,Ball in/out,1.44,0.178,0.155,0.203
Yes,Men,Ball in/out,1.48,0.185,0.161,0.209
Yes,Men,Ball in/out,1.68,0.191,0.167,0.216
Yes,Men,Ball in/out,1.88,0.192,0.168,0.217
Yes,Men,Ball in/out,1.92,0.193,0.169,0.218
Yes,Men,Ball in/out,2.23,0.194,0.170,0.219
Yes,Men,Ball in/out,2.24,0.195,0.171,0.220
Yes,Men,Ball in/out,2.32,0.196,0.172,0.221
Yes,Men,Ball in/out,2.40,0.198,0.174,0.223
Yes,Men,Ball in/out,2.48,0.199,0.175,0.224
Yes,Men,Ball in/out,2.52,0.200,0.176,0.225
Yes,Men,Ball in/out,2.60,0.201,0.176,0.226
Yes,Men,Ball in/out,2.64,0.202,0.177,0.228
Yes,Men,Ball in/out,2.68,0.203,0.178,0.229
Yes,Men,Ball in/out,2.80,0.206,0.181,0.232
Yes,Men,Ball in/out,2.84,0.207,0.182,0.233
Yes,Men,Ball in/out,2.88,0.209,0.184,0.235
Yes,Men,Ball in/out,2.96,0.214,0.189,0.240
Yes,Men,Ball in/out,2.97,0.215,0.190,0.241
Yes,Men,Ball in/out,3.00,0.217,0.192,0.243
Yes,Men,Ball in/out,3.04,0.220,0.195,0.247
Yes,Men,Ball in/out,3.08,0.224,0.199,0.251
Yes,Men,Ball in/out,3.12,0.227,0.202,0.254
Yes,Men,Ball in/out,3.16,0.232,0.206,0.258
Yes,Men,Ball in/out,3.24,0.247,0.220,0.274
Yes,Men,Ball in/out,3.27,0.248,0.221,0.275
Yes,Men,Ball in/out,3.28,0.253,0.226,0.281
Yes,Men,Ball in/out,3.32,0.258,0.231,0.286
Yes,Men,Ball in/out,3.36,0.266,0.239,0.294
Yes,Men,Ball in/out,3.44,0.275,0.247,0.303
Yes,Men,Ball in/out,3.48,0.283,0.255,0.311
Yes,Men,Ball in/out,3.52,0.285,0.257,0.313
Yes,Men,Ball in/out,3.56,0.290,0.262,0.319
Yes,Men,Ball in/out,3.64,0.304,0.276,0.333
Yes,Men,Ball in/out,3.68,0.310,0.282,0.340
Yes,Men,Ball in/out,3.72,0.313,0.285,0.343
Yes,Men,Ball in/out,3.73,0.316,0.287,0.345
Yes,Men,Ball in/out,3.76,0.327,0.298,0.356
